trip_purpose,passanger,weather_condition,ambient_temp,time_block,offer_validity,customer_gender,age_group,marital_status,household_children_flag,education_level,employment_type,income_band,vehicle_class,accepted_flag,behavioral_index,segment_flag,activity_score,risk_index,recency_score,id
Work,Alone,Sunny,79.11541260467689,7AM,1d,Male,26,Unmarried partner,0.012305874539193656,Some college - no degree,Student,$12500 - $24999,,1,-0.9990002102756735,3,0.10423089040047166,0.7037648608165971,0.12792648234804915,24
No Urgent Place,Alone,Sunny,80.6926226406299,7AM,1d,Female,41,Married partner,0.9939063964953866,Bachelors degree,Education&Training&Library,$25000 - $37499,Car that is too old to install Onstar :D,1,1.9508867393429865,3,0.2504628957813195,1.7710455460839358,0.7966644083707091,25
Work,Kid(s),Snowy,29.80717780463197,7AM,1d,Male,31,Widowed,0.0030957787498920317,Some college - no degree,Sales & Related,$62500 - $74999,,1,-1.6773585351517826,2,0.4152718135992737,0.8446579392416125,0.7988392587492261,26
Work,Alone,Sunny,78.74216236957285,7AM,1d,Female,31,Married partner,0.013124233655432783,Some college - no degree,Life Physical Social Science,$100000 or More,,1,0.6927615366898341,1,0.5374606992830918,1.0777747957962194,0.7832672174916331,27
Home,Alone,Sunny,79.43666007798544,6PM,1d,Female,36,Single,1.0042846548870206,Graduate degree (Masters or Doctorate),Education&Training&Library,Less than $12500,,1,-0.36044561242416995,1,0.4616252057054708,0.2767755191557313,0.060715998223622725,28
Home,Alone,Sunny,81.69138103700382,10PM,1d,Female,36,Single,0.9646544948583406,Graduate degree (Masters or Doctorate),Education&Training&Library,$37500 - $49999,,0,0.4786359903237033,3,0.20399833273001539,1.4903805048354835,0.4484783947371581,29
No Urgent Place,Friend(s),Sunny,80.46367621633192,6PM,1d,Female,50plus,Married partner,0.9663041445129603,Graduate degree (Masters or Doctorate),Education&Training&Library,$100000 or More,,1,0.6887414787758426,3,0.2500038348530945,1.2618738295666396,0.5728158739315734,30
No Urgent Place,Friend(s),Sunny,79.92009757946552,6PM,2h,Female,50plus,Divorced,0.020188912254273165,High School Graduate,Retired,$37500 - $49999,,1,0.25216023423859607,1,0.22532970754315773,2.0689883227575963,0.08725562339129334,31
Home,Partner,Sunny,29.834771009379484,10PM,2h,Female,41,Single,0.013687128910376392,Bachelors degree,Business & Financial,$62500 - $74999,,1,-0.4399261264578871,1,0.2230055855044163,1.2436691872627417,0.5912097092886514,32
Home,Alone,Snowy,30.542052590710163,10PM,2h,Female,50plus,Single,0.9427572485821776,Bachelors degree,Office & Administrative Support,$37500 - $49999,,1,0.3520756893245855,3,0.2698680056967525,2.5213094962275973,0.313657475364547,33
No Urgent Place,Kid(s),Sunny,55.01616789090503,6PM,2h,Male,41,Married partner,0.9957989594896166,Bachelors degree,Management,$87500 - $99999,,0,-0.9110030980809921,1,0.24788440530469305,0.9417266453481821,0.2165322952083638,34
No Urgent Place,Friend(s),Sunny,54.68001637837097,2PM,2h,Male,31,Widowed,-0.015103712403421312,Bachelors degree,Unemployed,Less than $12500,,1,-1.4431955401089631,3,0.3269374553183108,0.8603099343231443,0.4728779766038592,35
No Urgent Place,Kid(s),Sunny,79.90926062825685,10PM,1d,Male,31,Married partner,0.03621221420230446,Graduate degree (Masters or Doctorate),Education&Training&Library,$62500 - $74999,,1,1.2042566112093505,2,0.6802827603935356,0.262985309049471,0.053120196326949864,36
No Urgent Place,Friend(s),Snowy,30.66008902783682,10PM,1d,Male,26,Married partner,0.003732857117905526,Bachelors degree,Computer & Mathematical,$50000 - $62499,,1,-0.48739118351807614,0,0.1692965228328797,1.1220112334366503,0.8318392647401575,37
No Urgent Place,Friend(s),Sunny,55.22083302819896,2PM,1d,Male,36,Single,0.0025240150166854327,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,,1,0.28747276686627526,2,0.3287400882477729,0.6320756806703436,0.27996899486678173,38
Home,Alone,Sunny,79.40597150423127,6PM,2h,Female,50plus,Married partner,0.9776953919090317,Bachelors degree,Education&Training&Library,$50000 - $62499,,0,-0.9677945553115158,0,0.013852883879820675,1.0840103802298429,0.8100942798519473,39
No Urgent Place,Friend(s),Sunny,81.27875157791527,6PM,2h,Male,36,Married partner,1.0067781685313053,Some college - no degree,Management,$50000 - $62499,,1,0.12076768968687791,3,0.5542632103346085,0.22797532069549709,0.4127452591162911,40
No Urgent Place,Alone,Sunny,53.663293417887424,10PM,2h,Male,26,Single,-0.007486481388420021,Bachelors degree,Computer & Mathematical,$50000 - $62499,,0,1.243345949897344,0,0.5384391093399006,0.8599858631204007,0.617365682881743,41
No Urgent Place,Alone,Sunny,80.14947099005143,2PM,2h,Male,46,Married partner,1.0037902289749638,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,,0,-0.4622691517794665,1,0.0759086868654077,0.9632089573584884,0.8247162741011282,42
Home,Alone,Sunny,80.89089177281845,7AM,2h,Female,31,Married partner,1.0129962034725748,Some college - no degree,Arts Design Entertainment Sports & Media,$12500 - $24999,,1,0.5854917710899952,0,0.20655610540988573,0.7986426200243699,0.28093122924299996,43
Home,Friend(s),Sunny,79.58676388072966,2PM,1d,Male,26,Single,0.015081566085437056,High School Graduate,Unemployed,$37500 - $49999,,1,0.7474035383531503,3,0.07518180696967816,1.32146349170775,0.8477793491895254,44
Home,Alone,Sunny,53.41678159349777,6PM,1d,Male,26,Unmarried partner,0.0200457535953939,Some college - no degree,Sales & Related,$50000 - $62499,,0,-0.4693453598754219,3,0.10748415080010272,0.6895497625011314,0.9655946480003845,45
Home,Partner,Rainy,54.3851963345676,6PM,1d,Male,26,Single,0.9811746051862545,Some college - no degree,Sales & Related,Less than $12500,,1,1.3522366263123418,3,0.7108573392544206,1.1722273377837131,0.017987050692782725,46
Work,Alone,Sunny,80.03616763709884,7AM,1d,Female,41,Married partner,1.038461663283304,Bachelors degree,Education&Training&Library,$25000 - $37499,,1,0.18048707156313165,3,0.2453166253935315,0.6898848963998435,0.5019684773118247,47
Home,Friend(s),Sunny,78.8719778399626,6PM,1d,Male,36,Single,-0.021594967911764722,Some college - no degree,Unemployed,Less than $12500,,1,-0.015063722222439615,1,0.08837948608642414,0.15354603870415787,0.04689529364090428,48
Work,Alone,Sunny,79.92233535123762,7AM,2h,Female,36,Divorced,0.976134769815654,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,,0,1.3395973781719652,1,0.19877248826756447,0.6316465765144575,0.9320811646473844,49
No Urgent Place,Friend(s),Sunny,80.13823344749127,10PM,1d,Male,below21,Unmarried partner,-0.0024753446634098305,Some college - no degree,Student,$25000 - $37499,Car that is too old to install Onstar :D,0,-0.06019583388687768,0,0.138238571656669,1.7697974186906638,0.5398443245101052,50
Home,Alone,Sunny,54.6973087130889,2PM,1d,Female,41,Unmarried partner,1.005169720340349,Associates degree,Unemployed,$75000 - $87499,,0,1.4375154811703668,3,0.5795289552464905,1.00929484482803,0.5418528464865049,51
Home,Partner,Sunny,78.64437439111362,10PM,1d,Male,41,Married partner,1.0184110660049668,High School Graduate,Computer & Mathematical,$100000 or More,,0,1.4007157861925932,2,0.2064554742426869,1.2222630174300282,0.8015713235333773,52
Work,Alone,Sunny,56.0348766230161,7AM,2h,Male,36,Single,0.016448433737371346,Some High School,Healthcare Support,$50000 - $62499,,0,-1.5678038760073538,0,0.1983785348896889,1.1814300065758823,0.47845970680606387,53
Home,Friend(s),Sunny,79.09500263914816,10AM,1d,Male,50plus,Divorced,-0.023466942255510916,Bachelors degree,Retired,$100000 or More,Scooter and motorcycle,0,0.0469308685864077,1,0.20024907765284503,0.3748694481592552,0.9843359385994198,54
No Urgent Place,Alone,Sunny,55.77438580731396,2PM,1d,Male,46,Married partner,1.0087605289561397,Some college - no degree,Transportation & Material Moving,$62500 - $74999,,1,0.861694617911502,3,0.3150988900948744,0.7703980975945385,0.13776673494627678,55
No Urgent Place,Alone,Sunny,53.91172325567518,6PM,2h,Male,41,Married partner,0.9808041265985836,Associates degree,Farming Fishing & Forestry,$25000 - $37499,,0,-2.8899545337145423,3,0.38420328595129094,0.5690961406040511,0.27118805536599244,56
Work,Alone,Rainy,54.652518304243095,7AM,1d,Female,21,Married partner,1.0052427922476295,Bachelors degree,Unemployed,$37500 - $49999,,1,0.010190652411689451,0,0.5617861239712071,0.41700579949597927,0.6566386269874159,57
No Urgent Place,Friend(s),Sunny,79.49263267340176,2PM,2h,Male,26,Married partner,0.01986938689381007,Bachelors degree,Computer & Mathematical,Less than $12500,,0,0.15155101923930697,3,0.12095182531567433,1.0286772296193196,0.6708843998134463,58
No Urgent Place,Friend(s),Sunny,56.22388005540291,2PM,1d,Female,26,Single,-0.030381299188047783,Bachelors degree,Unemployed,Less than $12500,,1,0.4927519850126308,2,0.19901333949654154,2.8645838436601982,0.14330575801717682,59
Home,Alone,Sunny,53.12847153463245,6PM,1d,Male,21,Single,0.017023888891436675,Bachelors degree,Legal,$75000 - $87499,,0,-0.2608439112460536,2,0.48147278174693137,1.172570482977507,0.27659601838956516,60
No Urgent Place,Kid(s),Sunny,78.97150470705361,2PM,1d,Female,21,Married partner,0.9551979802880668,Associates degree,Unemployed,$75000 - $87499,,1,-0.986406780928129,1,0.662381456209763,0.8821424654679116,0.21299269957483524,61
Work,Alone,Sunny,80.94684393638693,10PM,1d,Male,31,Married partner,0.997519505735771,Associates degree,Architecture & Engineering,$87500 - $99999,,1,1.5598035486690902,0,0.38834351709884574,0.11603644478001318,0.05180207853561292,62
No Urgent Place,Kid(s),Sunny,77.6746027011209,10AM,2h,Male,31,Married partner,0.9937781348488841,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,,0,-2.625426723448312,1,0.48434264250896863,0.5598703232596022,0.4980154586103548,63
Work,Alone,Sunny,79.05939410953954,2PM,1d,Female,26,Single,-0.011750123919523778,Bachelors degree,Personal Care & Service,$12500 - $24999,,0,-0.6183450580703537,1,0.1258338997719953,0.7130491075389837,0.09967683557956897,64
Home,Alone,Sunny,53.63694294728505,6PM,1d,Male,41,Married partner,0.9788988728891349,Some college - no degree,Computer & Mathematical,$50000 - $62499,,1,0.25859650516926586,0,0.5638615279949756,0.963724689828401,0.8253012354171317,65
Home,Alone,Rainy,54.37958338744662,6PM,1d,Male,50plus,Married partner,0.967342533492478,High School Graduate,Retired,$75000 - $87499,,0,1.1001979118207543,3,0.16979379473353606,0.1470299619837809,0.8195627691214686,66
Work,Alone,Sunny,81.06776435074757,7AM,2h,Male,36,Single,0.011329595234284279,Some college - no degree,Education&Training&Library,$50000 - $62499,,0,0.32276504556571783,1,0.14296872151356577,1.7573509677981933,0.6080032637488463,67
Home,Kid(s),Sunny,80.60967867042577,6PM,1d,Female,50plus,Unmarried partner,1.042992993802412,Some college - no degree,Management,$37500 - $49999,,0,-0.7170516394838716,1,0.2898609445358545,0.8103229491465618,0.6746394002132158,68
Home,Alone,Rainy,52.38869785517384,10PM,2h,Female,21,Unmarried partner,0.010885394918950816,Bachelors degree,Unemployed,$37500 - $49999,,1,1.1555314719517917,1,0.424441472634168,0.3753399193816263,0.3313486544799775,69
Home,Alone,Sunny,81.324613732989,6PM,1d,Male,21,Single,0.01406015818662879,Bachelors degree,Protective Service,$12500 - $24999,,1,0.855558472630475,3,0.4838290043882772,0.9219711558375936,0.5075800105284354,70
Home,Alone,Sunny,54.98867506050562,10PM,1d,Female,31,Divorced,0.03980347779239851,Bachelors degree,Arts Design Entertainment Sports & Media,$50000 - $62499,,1,0.011049802142893347,1,0.14205059110729915,1.224371450672607,0.21635605275709247,71
Work,Alone,Sunny,55.14530667961452,7AM,2h,Female,31,Married partner,1.066419627482541,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,,0,0.04347586855003624,0,0.26899672379465983,0.9106628961615815,0.10577455610660857,72
No Urgent Place,Friend(s),Sunny,55.08256259854978,2PM,1d,Female,41,Married partner,-0.03866030824962871,Bachelors degree,Office & Administrative Support,$62500 - $74999,,1,1.874418707642565,1,0.6229185157516582,0.3818672679237904,0.8119525662888514,73
Work,Alone,Snowy,29.18989110524307,7AM,1d,Female,31,Divorced,-0.0037621622447790203,Bachelors degree,Education&Training&Library,$25000 - $37499,,0,-0.26257235068488133,3,0.372959689326927,2.349286775980904,0.1722251294115762,74
Work,Partner,Sunny,54.4281447426264,7AM,2h,Female,41,Married partner,1.0164658792139536,High School Graduate,Arts Design Entertainment Sports & Media,$25000 - $37499,Car that is too old to install Onstar :D,1,-1.7134314096797572,2,0.42627826345523306,0.6493605503777693,0.9221640535322607,75
No Urgent Place,Partner,Sunny,78.97129906204289,10AM,2h,Male,26,Divorced,-0.007122114228800118,Bachelors degree,Computer & Mathematical,$50000 - $62499,,1,-0.5949956607171133,2,0.6289453922880673,2.1752989741635997,0.9870057181231057,76
Work,Alone,Rainy,54.416452982643925,7AM,1d,Female,26,Single,-0.026896614038099276,Graduate degree (Masters or Doctorate),Unemployed,$25000 - $37499,Mazda5,1,-0.8490057427005676,0,0.2034994759211093,1.1963317329774934,0.5693664084569505,77
No Urgent Place,Friend(s),Sunny,55.46651854933675,2PM,1d,Female,21,Unmarried partner,1.0355899652441756,Associates degree,Food Preparation & Serving Related,$12500 - $24999,,0,-1.0345097255178042,2,0.08107609850190722,0.6133435709147784,0.06939555408669351,78
Home,Alone,Snowy,30.91123443468834,10PM,2h,Male,46,Married partner,0.9998722932589282,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,,0,-0.8361431670760211,0,0.23673888646903632,0.925034426055764,0.9493238872158519,79
No Urgent Place,Alone,Snowy,30.115186407208945,2PM,1d,Male,26,Single,0.011491558142818303,High School Graduate,Unemployed,$37500 - $49999,,1,-0.11993060588516682,0,0.24481145358935255,0.4962668161526024,0.06791773499824416,80
Work,Alone,Sunny,80.4593354754931,7AM,1d,Male,36,Married partner,1.0238102479978515,Graduate degree (Masters or Doctorate),Transportation & Material Moving,$87500 - $99999,,0,0.9682024149319197,2,0.21244386813679544,2.451145943146182,0.09708955714318068,81
No Urgent Place,Kid(s),Sunny,55.786833057888515,6PM,2h,Female,36,Married partner,1.0337423501903,Bachelors degree,Education&Training&Library,$37500 - $49999,,1,-0.6259230251710973,3,0.45105943089472916,0.8203881075475481,0.26087796051805734,82
No Urgent Place,Kid(s),Sunny,79.87931615381602,10AM,2h,Female,31,Widowed,0.9745961130688827,Bachelors degree,Life Physical Social Science,$37500 - $49999,,1,-2.4681886907166515,0,0.2554027481037638,1.101165071063923,0.17620331261559663,83
Home,Alone,Sunny,31.412248198494765,6PM,2h,Female,41,Married partner,1.0432289496778433,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,,1,1.3327517197629069,0,0.14366400139258773,1.1560953664350373,0.9580397423782773,84
No Urgent Place,Friend(s),Sunny,79.14794816240968,2PM,1d,Male,26,Unmarried partner,0.0067941258166712105,Some college - no degree,Healthcare Support,$50000 - $62499,,1,0.27500087240659743,0,0.2991321418744332,2.0265815153725555,0.49635020221291815,85
No Urgent Place,Partner,Sunny,79.55948965098763,6PM,2h,Female,46,Married partner,0.04510940984509608,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,,1,-1.004416803990909,1,0.32537249040127225,2.102916827684313,0.06618647217686646,86
No Urgent Place,Friend(s),Sunny,80.63043555761085,2PM,2h,Female,50plus,Single,0.016656081047501145,Graduate degree (Masters or Doctorate),Life Physical Social Science,$37500 - $49999,,0,1.2571105373260525,2,0.21158258285926768,0.45019550639431855,0.9681096425532201,87
No Urgent Place,Friend(s),Snowy,28.613219267647636,10PM,1d,Male,26,Single,0.009170393598927195,Bachelors degree,Food Preparation & Serving Related,$50000 - $62499,,1,-0.9290296701908292,0,0.1543140701584442,1.1553785208034102,0.629891525725837,88
Home,Alone,Sunny,53.693859170362366,10PM,1d,Male,46,Single,-0.003334218606916244,Bachelors degree,Business & Financial,$100000 or More,,1,-0.6862578527507796,0,0.22440337258509033,1.1282179759924593,0.22383499257610018,89
No Urgent Place,Alone,Sunny,79.47610334062578,7AM,2h,Female,50plus,Single,0.026140193098633475,Graduate degree (Masters or Doctorate),Unemployed,$12500 - $24999,,0,-0.5469033794132541,0,0.1469295557231725,1.1113476665163842,0.35539571099988676,90
Home,Alone,Sunny,81.60952197190646,10PM,2h,Female,26,Single,0.031116134973700672,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,,0,0.6423171486718555,0,0.12574240924778912,0.6783748917499693,0.05543287535119823,91
No Urgent Place,Partner,Sunny,79.15080437858425,2PM,2h,Female,21,Unmarried partner,0.019444715287635986,Some college - no degree,Education&Training&Library,$100000 or More,,0,0.2076759488668318,2,0.26991720126591706,0.675453356760235,0.40012790255406394,92
No Urgent Place,Friend(s),Sunny,80.88281587446534,2PM,2h,Female,36,Married partner,0.9869101170318895,Bachelors degree,Education&Training&Library,$87500 - $99999,do not drive,0,-0.48824677499017055,0,0.10397662056195853,0.29775074323461775,0.9012254581928496,93
Home,Alone,Snowy,80.00652397448879,6PM,2h,Male,below21,Single,0.013829692290700616,Some college - no degree,Student,Less than $12500,,0,-0.2234823380786229,2,0.585661640176564,0.7301197889035421,0.8248204973458083,94
Home,Alone,Rainy,78.99815586397484,6PM,1d,Male,21,Single,0.028843165712851115,High School Graduate,Student,$37500 - $49999,,1,-0.20154385229362787,3,0.4053288850908514,0.4710372902096008,0.3721551054597778,95
Home,Partner,Sunny,78.2969097760704,10AM,2h,Male,below21,Married partner,-0.011625979850639194,Some college - no degree,Computer & Mathematical,$100000 or More,,1,-0.8699469875011014,3,0.49260394700859694,1.3587547592173037,0.5225613324213706,96
No Urgent Place,Alone,Sunny,55.769976678996244,6PM,2h,Male,26,Single,-0.007499390319513355,High School Graduate,Production Occupations,$37500 - $49999,,0,0.7818384717261192,2,0.11766194197884622,1.4170214327312578,0.46575947670880946,97
No Urgent Place,Friend(s),Sunny,78.93188121719186,10AM,1d,Female,36,Married partner,0.9879446068866595,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,Mazda5,1,-1.2974458051043685,1,0.14597344012477542,0.9276159417470838,0.2792868502631871,98
Work,Alone,Sunny,81.59531175836901,6PM,1d,Female,50plus,Divorced,0.967767935749842,Graduate degree (Masters or Doctorate),Sales & Related,$37500 - $49999,Car that is too old to install Onstar :D,1,0.7488148876174393,0,0.5224392888542833,0.4842233920282106,0.44575378168478297,99
No Urgent Place,Friend(s),Sunny,79.70024121046397,10AM,2h,Male,41,Divorced,1.0042873414234714,Graduate degree (Masters or Doctorate),Education&Training&Library,$62500 - $74999,,0,-1.4583221815943328,3,0.5715782759716954,1.009865910988255,0.1398422153863238,100
Home,Alone,Sunny,78.71386728434592,10PM,1d,Male,21,Married partner,0.01110020472276481,High School Graduate,Unemployed,$25000 - $37499,Scooter and motorcycle,0,0.5507377675028915,0,0.2918940668417926,3.6691079248331713,0.9615425549027657,101
Work,Partner,Sunny,30.94200673207451,10PM,1d,Female,31,Unmarried partner,1.0022683891259538,Bachelors degree,Computer & Mathematical,$62500 - $74999,,0,0.4450758163395568,0,0.28145424781312345,0.9719322844236621,0.9044967816524863,102
Home,Partner,Sunny,30.765681258067247,10PM,1d,Male,21,Unmarried partner,0.03905534810434149,Some college - no degree,Student,$12500 - $24999,,1,1.3528802726414373,3,0.11150348169234559,1.1072012056510296,0.16171002357034858,103
Home,Alone,Rainy,80.38507558442826,10AM,1d,Female,50plus,Divorced,1.006818267839494,Bachelors degree,Personal Care & Service,Less than $12500,,1,-0.27342866495162793,1,0.34607915043356413,1.0020277749262243,0.7997045148885492,104
Work,Alone,Rainy,56.010136887219986,7AM,2h,Female,below21,Divorced,1.0071678754834243,Some college - no degree,Office & Administrative Support,$25000 - $37499,,0,0.09432264908342572,3,0.27357589172558144,0.9714454863530531,0.21672624857216105,105
No Urgent Place,Kid(s),Sunny,54.91583298183019,2PM,1d,Male,50plus,Married partner,1.009021521636515,Bachelors degree,Retired,$87500 - $99999,,0,0.14330661981429843,1,0.2539743921424944,0.8121541113507169,0.41891330151135986,106
Work,Alone,Sunny,55.23334947365833,7AM,2h,Male,46,Unmarried partner,0.9888205302636851,Bachelors degree,Management,$100000 or More,crossover,0,-1.086324437649202,3,0.5656924240828181,1.7449147112357526,0.8664140979722945,107
No Urgent Place,Friend(s),Snowy,29.764957815348293,2PM,1d,Female,36,Single,-0.031918641269963154,Bachelors degree,Unemployed,$25000 - $37499,Mazda5,1,0.18626098648924852,1,0.12554248410509483,0.7596189831577953,0.8881916148494124,108
No Urgent Place,Kid(s),Sunny,56.046862013579016,2PM,1d,Male,36,Married partner,0.964711704159335,Some college - no degree,Computer & Mathematical,$62500 - $74999,,1,-1.3522014426460909,2,0.06661860776051369,0.8898913894096793,0.32673987593624165,109
Work,Alone,Snowy,79.03344300967244,7AM,1d,Female,21,Married partner,0.024893261809209796,Bachelors degree,Unemployed,$87500 - $99999,,0,-1.0478983470374958,3,0.19868303700205256,1.4232617933315104,0.735827636496603,110
Home,Alone,Sunny,55.622891376170294,6PM,2h,Female,36,Divorced,0.991456954085545,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,do not drive,0,0.06827368315781218,2,0.09310274667396945,1.0672222212320042,0.8258013549390317,111
Work,Alone,Sunny,55.38868086608617,7AM,2h,Female,31,Single,0.0071503246501974016,Bachelors degree,Transportation & Material Moving,$25000 - $37499,,0,-0.12019910325740663,0,0.15440911176396083,0.5458334483158243,0.8296603731197866,112
No Urgent Place,Friend(s),Sunny,28.91655000273364,10PM,2h,Male,26,Married partner,0.9731340478903784,Bachelors degree,Computer & Mathematical,$37500 - $49999,,0,-0.23344225466231244,2,0.20563028815103238,1.6657306629447475,0.8814231423622899,113
Work,Alone,Rainy,56.267937831611746,7AM,1d,Male,46,Single,-0.0021021973897172377,Some college - no degree,Production Occupations,Less than $12500,do not drive,1,-0.8119895562523692,2,0.3429888075808092,3.175320098774755,0.3327190199985328,114
